,Unnamed: 0,Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Payment_Behaviour,Monthly_Balance,Credit_Score,Amount_invested_monthly
99,32556,33,5,39799.4,3049.616666666667,5,7,12,3,1547,6,4.0,3.06,1.0,3,1132.54,36.51741497670517,8,0,54.94249370279955,5,330.9023014885729,1,209.11687147529418
106,71592,47,2,42193.03,3375.085833333333,3,5,10,1,1200,4,6.0,1.48,2.0,1,1218.38,35.639823313690975,19,0,28.5325749612005,1,464.49663151498635,0,94.4793768571465
111,33394,30,12,40566.32,3498.526666666666,4,7,20,3,1941,21,20.0,8.92,10.0,2,1366.41,27.991382854675496,34,1,78.29005321648954,1,429.41048579187753,1,92.1521276582996
118,92125,24,0,43615.2,3420.6,4,6,3,4,1982,9,7.0,6.46,7.0,3,1030.5,33.679065311772874,13,0,128.54998671742212,1,322.63599002128717,2,140.8740232612907
120,13045,42,13,63839.46,5304.955,7,6,20,3,447,11,17.0,12.33,4.0,2,733.2,28.95543105615457,10,1,98.7496147499512,6,443.0655932327775,2,248.68029201727128
122,91821,48,14,32228.67,2917.7225,7,6,8,4,3,25,10.0,7.0,4.0,2,940.36,37.414981761349296,26,1,78.08574679084896,4,282.7924274819796,2,210.89407572717147
126,64359,52,3,55877.54,4477.461666666667,4,5,11,1,1690,25,11.0,10.38,8.0,2,592.24,34.05153094759858,15,1,46.35492672552254,2,475.49100875721217,2,185.90023118393208
134,70516,41,8,49224.84,4225.07,8,6,26,7,1914,42,19.0,7.94,11.0,0,2589.29,33.00042469501058,34,1,166.2795554778638,1,440.0278987402049,1,66.19954578193136
138,76985,28,2,57107.12,4462.926666666667,8,5,30,3,744,19,14.0,9.71,12.0,2,1870.02,35.89898707270909,7,1,136.04028927135494,0,517.2925087235392,1,32.959868671772554
144,86223,25,2,81566.25,7036.1875,7,6,12,3,682,15,11.0,6.27,2.0,1,231.16,32.84563427846417,24,0,136.2266373365261,0,639.2144126899411,0,168.17769997353284
145,52375,20,12,73140.38,5799.031666666668,3,5,15,1,0,9,9.0,13.56,5.0,2,1056.32,26.40542162371881,18,1,44.9815923192537,6,351.7327262242202,2,453.1888481231929
167,23738,22,11,60460.92,4855.41,4,6,16,1,1440,19,5.0,9.3,8.0,2,1040.47,31.13699638657273,6,1,40.27501432269317,3,323.9877924107596,2,391.27819326654725
168,28026,32,6,34947.63,3022.3025,3,7,20,4,1302,7,8.0,2.49,3.0,2,936.29,29.40417721581377,8,0,77.86290674407878,2,342.3854827012853,2,141.98186055463592
174,86367,34,12,47732.88,3821.74,6,7,26,2,1688,9,10.0,10.25,9.0,2,1558.93,31.96409799966872,5,1,46.471196983888646,0,492.7840729742592,1,82.91873004185206
176,8467,42,14,47899.86,3852.655,3,5,23,4,843,9,11.0,19.59,11.0,2,2359.68,25.064681727623142,4,1,137.97591889523923,2,268.42273357498783,2,238.86684752977303
177,47340,41,15,43892.31,3798.6925,6,9,28,4,112,45,22.0,5.91,12.0,0,2001.71,37.901011945078295,2,1,80.11142370706325,3,262.39363764668246,1,307.3641886462542
200,90544,31,13,17680.69,1449.3908333333331,6,6,9,4,107,4,12.0,13.5,8.0,2,887.98,37.56029322078355,18,1,31.68734043318193,3,292.36732511602656,2,90.88441778412479
210,38816,45,1,32570.85,2936.2375,6,7,16,2,230,17,18.0,16.32,5.0,2,630.27,34.817009099652736,7,1,50.16601482864114,1,426.6278082214108,2,66.82992694994805
211,46903,47,10,110608.83,9434.4025,6,6,19,1,1911,12,20.0,4.05,9.0,2,247.54,25.87491349771738,21,0,68.98888573228041,4,297.77618709201266,0,856.675177175707
224,91938,38,1,56400.18000000001,4991.015,7,5,30,2,479,25,10.0,13.84,6.0,2,2582.73,29.836608295638,9,1,56.783902520414046,5,431.45952410783167,1,300.85807337175424
225,17795,39,11,82668.24,6873.02,7,4,16,2,230,28,8.0,10.31,6.0,3,1596.58,38.95682859443054,32,1,113.16484167511636,1,698.870336916099,2,125.2668214087849
236,29114,28,3,20282.42,1460.2016666666666,4,4,14,4,799,30,16.0,5.82,4.0,2,489.03,36.13561748118842,8,1,35.386273740844544,2,281.1437095277262,2,89.49018339809595
253,92540,20,0,45285.96,4022.83,6,4,12,2,717,11,16.0,8.47,6.0,2,1077.91,29.1090713216268,33,1,46.97017764405022,5,224.74034971353626,2,420.57247264241346
257,50658,42,15,32827.25,2828.604166666666,6,6,5,3,1548,16,6.0,13.82,7.0,2,1271.28,32.65571199178914,34,1,49.53508236018678,2,442.89123459621305,2,50.43409971026681
271,83983,22,5,11138.425,911.2020833333332,3,7,20,2,476,13,10.0,7.95,2.0,2,878.15,35.379311866322624,19,1,11.125299425252717,2,290.369832110474,1,49.62507679760658
275,11176,22,13,40406.18,3191.181666666667,5,5,32,7,210,23,13.0,10.07,7.0,2,1309.82,31.49950319259696,31,1,127.41568143891406,0,375.4040259557344,1,56.29845927201821
282,60038,41,7,38842.5,3136.875,5,7,9,4,267,21,13.0,9.33,12.0,2,1662.17,38.062817867481314,34,1,115.04877154671654,1,387.0260092552501,2,61.61271919803341
307,72025,46,13,14842.65,1053.8875,8,5,8,2,1435,26,9.0,12.22,4.0,2,1086.11,29.92386426786859,15,1,15.346409754160252,5,259.76696627944403,2,120.27537396639576
308,73620,21,9,38840.78,3431.731666666666,4,7,21,2,953,12,9.0,18.72,6.0,3,1442.28,35.088766851050444,29,1,42.32511917481917,1,479.9014901861233,2,70.9465573057242
338,34764,38,14,95401.47,8171.1225,7,7,20,4,840,28,11.0,19.38,2.0,2,921.31,28.628912877337577,10,1,230.0957676172412,6,418.350094082427,2,438.666388300332
344,91555,42,0,13056.35,1177.0291666666667,5,6,18,1,1690,18,14.0,11.39,5.0,2,562.05,32.74571681657905,20,0,8.140792415105551,2,331.1768621761296,2,38.38526207543153
348,26552,21,11,25655.23,2081.935833333333,7,5,6,1,481,16,20.0,7.3,3.0,2,1115.06,28.632623333869475,11,1,15.080796058566763,5,366.9765258834116,2,116.136261391355
351,35155,27,5,67512.6,5804.05,7,6,31,3,1968,28,11.0,13.48,11.0,2,2342.79,29.34778779685108,2,1,88.99393704043982,2,409.970162297967,1,341.44090066159316
366,62211,23,14,17097.565,1461.7970833333331,3,4,10,5,1407,27,9.0,4.86,6.0,2,948.08,35.42469415122176,10,1,49.27962630057444,1,298.8240711490095,0,48.07601088374934
374,84748,22,3,46880.49,3790.7075,6,7,23,5,1772,42,18.0,3.37,11.0,0,2192.18,37.58971737994994,11,1,106.72846162420971,0,448.03979053282615,1,64.30249784296412
382,24139,41,4,19269.565,1343.7970833333334,4,6,9,4,1442,15,8.0,6.67,2.0,1,578.31,31.08111144994965,20,0,40.14952903214071,5,205.03495616452156,2,179.1952231366711
386,69180,24,6,89995.59,7546.6325,5,7,5,3,2147,23,17.0,11.25,7.0,2,458.81,38.45795649343573,9,0,122.20461482312724,2,732.6619004420844,1,159.79673473478843
410,83902,45,13,93305.76,7837.48,3,6,15,1,1911,14,20.0,4.55,3.0,2,1275.86,29.55917428179757,24,0,39.38564366905048,4,670.6457386134945,1,353.71661771745505
412,14366,41,0,21384.94,1646.0783333333331,4,4,15,2,474,27,13.0,16.369999999999994,5.0,2,691.53,40.104771706907016,19,1,22.09562499959782,3,334.53731701251183,2,77.97489132122375
413,38228,23,15,78133.6,6636.133333333334,5,7,17,4,624,8,8.0,12.88,6.0,2,1055.06,28.920453254087683,6,1,172.48911225898485,2,579.3064065379382,2,171.81781453641048
422,9316,23,14,16803.61,1381.3008333333337,8,5,25,3,1900,28,17.0,19.93,6.0,2,1664.82,35.844222748198,7,1,22.365778122223645,4,349.91361109297065,2,45.85069411813898
424,94121,30,13,101748.16,8382.013333333334,6,7,5,3,368,11,18.0,18.66,7.0,3,483.4,30.562711861843063,7,0,155.11502636519032,5,524.6029836324491,2,448.48332333569414
428,21250,26,13,94287.36,7823.28,4,4,13,2,2157,27,17.0,18.66,2.0,3,1261.99,30.438407599432825,7,1,124.14301629300655,3,565.956979517342,2,362.2280041896515
442,88064,17,5,19457.5,1904.458333333333,5,7,15,1,725,5,17.0,17.11,6.0,2,198.06,35.253322615038755,18,0,9.01222264208022,3,327.759993220801,2,123.67361747045211
443,50680,38,13,37062.36,3211.53,8,8,31,6,2071,27,11.0,11.1,6.0,3,2277.28,33.54107288524704,30,1,165.78610526995482,2,262.69977155407173,1,152.66712317597344
447,37382,19,8,43430.88,3418.24,6,4,12,1,1200,20,16.0,8.54,4.0,3,1288.94,33.29825329163272,10,0,20.440817617551264,0,482.787797127946,2,78.59538525450282
453,90156,51,8,79298.96,6830.246666666668,8,7,13,1,955,17,16.0,7.26,2.0,2,804.92,36.69952242897187,27,0,58.09333267948304,2,641.222651369055,2,243.70868261812862
456,31353,27,8,33684.42,2792.035,6,9,18,5,1291,52,17.0,22.82,10.0,3,1329.97,25.986499181022573,4,1,116.41793858628525,3,238.3492090105082,1,194.4363524032066
459,49235,50,0,48615.22,3937.268333333333,4,7,15,4,647,29,11.0,9.44,4.0,2,1235.05,37.524429925203535,8,1,135.35743365490544,6,212.5150120256632,2,335.85438765276473
460,75626,27,1,10667.73,1027.9775,7,6,18,2,1907,14,7.0,14.32,2.0,2,556.11,26.33924881650169,17,1,16.305809736297753,5,327.6501949867688,2,48.84174527693345
472,55072,44,3,29378.06,2312.1716666666666,7,6,17,4,434,23,8.0,8.81,6.0,2,1078.84,36.20972597916185,9,1,93.0172931787162,2,313.0244633331222,2,85.1754101548283
475,94701,24,2,82616.56,7053.713333333332,6,7,5,4,281,26,17.0,4.39,1.0,2,1204.38,25.46391073539902,19,0,146.59056325938127,0,708.4254239369037,2,90.35534613704849
487,62598,27,4,15125.64,1311.47,3,4,28,2,475,7,16.0,17.79,9.0,3,2312.67,36.47176580070444,5,1,24.446454920823545,4,314.72806221386435,1,71.97248286531217
488,68065,29,7,76924.38,6587.365000000002,5,4,20,1,725,30,13.0,16.93,3.0,2,1080.88,38.423924918291824,14,1,45.740441805288505,0,804.1364960577887,2,48.85956213692307
493,78695,33,4,45705.04,3722.7533333333336,8,6,6,3,400,13,13.0,16.69,7.0,3,378.16,35.431910832868034,8,1,69.0449502064084,0,468.7323514424564,2,74.49803168446849
500,52736,34,13,17200.97,1185.4141666666667,8,9,27,4,962,24,10.0,7.3,9.0,2,1513.27,39.94453758118468,5,1,48.51381569201107,5,239.0462760290949,1,120.98132494556069
503,34044,50,9,21209.33,1749.444166666667,7,7,8,1,233,30,15.0,18.7,4.0,2,138.94,31.10944191797996,17,1,17.303508891205805,5,222.38470756881568,2,225.2562002066452
504,89907,40,10,28649.99,2273.499166666667,7,7,9,3,687,10,20.0,19.61,8.0,3,1412.93,36.10040420899978,2,1,70.06501808853292,0,354.28933792301467,2,42.995560655119114
506,46751,36,1,56831.76,4627.980000000001,5,6,6,1,955,29,18.0,1.17,2.0,2,1179.08,25.53736592204616,22,0,37.50499252116236,4,522.6516120292969,2,182.64139544954082
510,66429,26,4,23987.59,2087.9658333333336,6,5,10,1,481,29,9.0,19.36,10.0,2,1332.44,32.04401437958297,34,1,19.30070080406169,3,371.9054448068448,2,87.59043772242691
513,53777,35,2,18419.57,1243.9641666666666,4,4,10,1,0,14,7.0,9.08,1.0,1,699.06,30.79105750059766,17,0,9.803353349475836,5,349.64232299663627,0,54.95074032055456
525,38242,21,14,56971.5,4846.625,7,7,17,3,1275,21,9.0,10.53,8.0,2,154.46,38.01873600532291,17,0,134.4941086770282,1,446.3642439039055,2,153.8041474190663
545,65496,28,0,19852.32,1413.36,7,8,29,6,1473,40,17.0,1.98,8.0,0,2625.27,30.90291732474404,7,1,52.93074342971981,5,318.39445005686355,1,60.010806513416604
553,57304,44,13,94811.36,7999.946666666668,4,5,10,6,1973,26,20.0,13.5,7.0,2,461.05,33.312448098612194,5,1,248.46071707798,1,607.3874309526562,2,194.14651863603046
571,25084,20,10,45941.28,4006.44,6,4,4,3,371,27,19.0,1.57,7.0,1,1279.96,34.43447194193109,21,0,80.89486248400442,5,397.0318683589744,0,212.71726915702126
575,8151,17,4,15359.33,1484.3629985146094,7,5,13,6,156,25,10.0,13.11,6.0,2,1631.85,28.52920702810998,7,1,127.58726029025964,4,335.9758858795434,2,45.81243864892053
577,59270,34,0,10702.83,1108.9025,3,5,17,6,1865,22,10.0,17.58,7.0,3,140.29,35.30895696079241,6,1,52.08856228482824,5,238.1633138277653,1,110.63837388740649
582,24621,44,3,103092.27,8311.0225,3,6,10,4,1235,22,12.0,12.53,4.0,3,300.65,26.43818684697173,5,1,328.6048363557977,0,558.6455457295717,2,183.85186791463056
585,84692,37,8,14996.235,1439.68625,3,6,16,5,1006,22,21.0,13.83,5.0,2,1100.64,29.29041004061741,5,1,61.64740219234954,5,253.97279937179115,2,118.3484234358593
588,56314,37,8,30247.7,2328.641666666667,5,6,10,7,127,17,10.0,15.87,4.0,2,841.39,29.135142808373185,4,1,90.59921818844671,1,348.35780175082306,2,43.907146727396906
595,22343,34,8,35134.51,2824.875833333333,8,6,15,3,593,15,17.0,3.16,6.0,2,1359.56,32.0939370473309,26,0,45.90645160593744,6,442.2401792962788,2,44.34095243111704
599,40300,19,14,38714.36,3222.1966666666667,6,8,25,6,2095,25,15.0,6.58,8.0,0,3370.74,30.96057964987323,30,1,105.58040997001363,6,420.5061363937908,2,46.1331203028622
607,36896,23,2,11486.08,1067.1733333333332,8,7,11,3,1134,14,9.0,11.73,4.0,2,550.98,30.446962654285603,8,1,23.083110511727902,5,316.01015899715765,2,57.624063824447774
618,44265,39,14,10737.365,884.7804166666666,8,4,14,4,751,17,16.0,16.61,8.0,2,1126.18,29.4546573760383,10,1,19.50258105600852,4,260.283495386892,2,88.69196522376619
628,35864,22,14,20628.55,1539.0458333333331,4,4,9,4,640,10,10.0,10.69,1.0,2,1276.97,26.871451787496053,26,1,52.3759436722908,5,302.008281171886,2,89.52035848915659
637,67939,37,0,79524.64,6626.053333333332,5,5,15,4,56,26,9.0,10.88,7.0,3,402.54,36.40395457920251,34,1,167.48683937156764,3,279.8294778324994,0,485.2890161292664
642,37249,28,7,14129.42,1027.4516666666666,5,4,27,5,327,29,11.0,8.63,8.0,3,2550.42,29.63924033267097,9,1,55.22550617995536,4,295.1288543722562,2,32.390806114455145
655,85736,36,15,13701.675,1232.80625,8,6,19,1,1200,7,9.0,11.9,5.0,3,1060.4,35.133624232252075,16,0,7.968654621030472,2,332.3310553723831,2,42.980915006586464
685,35237,35,5,82203.45000000001,6655.287500000001,6,5,12,2,475,14,20.0,6.86,4.0,2,667.13,31.5373190759814,15,1,104.3200658335418,1,596.1852163795568,2,215.0234677869017
686,17352,37,5,49570.5,4335.875,6,8,24,4,393,19,22.0,4.86,6.0,0,1697.98,37.524202735893375,2,1,130.63491905089842,5,203.95784326462945,1,388.99473768447217
699,92401,42,14,45706.47,3640.8725,6,7,25,5,2120,28,13.0,21.63,6.0,0,4034.53,34.83127194454104,3,0,142.84644741037712,0,422.49716249191766,2,38.743640097705295
705,56954,26,7,34797.74,2911.811666666666,6,4,7,3,1856,26,12.0,5.08,1.0,2,874.86,26.60283244867465,34,0,56.27407815906147,6,416.6020207867614,2,58.3050677208438
711,90370,35,7,55299.72,4896.31,5,4,23,2,946,15,10.0,10.94,8.0,3,2013.21,30.055070200276727,3,1,83.66941405052296,1,544.0008696307934,1,111.96071631868372
714,82409,37,9,63601.48,5400.123333333334,3,7,15,6,108,27,11.0,19.49,6.0,2,1191.91,27.874623188773302,11,1,184.6916345620093,6,454.0955448142155,2,161.2251539571087
720,15385,43,6,63539.56,4996.963333333333,8,7,15,2,2157,22,15.0,2.03,10.0,0,2638.22,25.228254591918745,8,0,60.66704901520035,1,589.0827964206115,1,99.94648789752144
725,73623,21,9,38840.78,3431.731666666666,4,7,21,2,953,12,9.0,16.72,9.0,2,1442.28,35.06967134059329,29,1,42.32511917481917,1,466.9285390932063,2,83.9195083986412
731,48199,41,4,15957.41,1039.7841666666666,8,5,7,3,1166,19,22.0,16.33,4.0,3,1269.87,34.605376072975524,2,1,25.048554363131267,5,254.42977632185432,2,114.50008598168108
743,21630,36,15,26670.7,1996.5583333333327,5,4,5,3,652,6,13.0,19.96,5.0,2,502.35,32.34218357373908,3,1,38.989581599188526,5,278.01331671309737,2,172.65293502104748
776,12832,29,9,33900.04,2776.0033333333336,6,5,12,3,1754,21,23.0,16.38,5.0,2,593.26,35.273708819653365,10,1,57.14005950839214,2,343.87550603048294,2,136.5847677944583
787,56502,18,14,126578.8,10817.233333333334,3,6,6,4,1604,7,14.0,18.57,7.0,2,1156.17,33.97412228535217,10,1,328.65880256975163,5,468.2167347828772,2,574.8477959807045
805,18545,29,0,62848.88,5070.406666666667,7,7,8,5,1331,16,19.0,17.34,4.0,2,2680.87,39.760980609721,30,1,243.7555005240272,3,209.38904507592804,2,323.8961210667116
813,93305,18,4,13190.345,1131.1954166666667,3,4,5,1,481,20,23.0,6.4,1.0,2,578.6,25.511613673103582,21,1,9.896018015741973,4,302.77027672282884,2,80.45324692809591
833,18693,26,2,57055.95,4817.6625,4,4,9,4,994,17,16.0,10.03,7.0,2,470.01,27.74775663823004,32,1,174.28633303077572,5,208.71261492528728,2,388.76730204393715
835,39866,32,5,20063.03,1460.9191666666666,3,5,15,3,2097,23,9.0,8.55,9.0,2,1598.32,25.85990222128608,33,1,36.899064340339216,4,261.07356410837684,1,128.11928821795058
881,32456,24,12,20837.54,1704.4616666666668,4,6,4,1,481,8,5.0,10.49,2.0,1,1160.42,28.893878519845657,16,0,16.868165543469207,5,294.7681931459954,1,148.80980797720213
882,59680,44,8,28475.19,2090.9325,5,4,19,4,302,10,18.0,11.96,6.0,2,147.14,29.50157553420972,34,0,67.08218313758837,3,330.95045992554014,2,81.06060693687152
895,29508,19,0,29651.23,2460.935833333333,6,5,6,2,951,17,15.0,8.62,2.0,2,1217.99,35.022567144341984,20,0,37.90300631081737,5,311.55132781062315,2,186.6392492118929
904,18114,52,11,23211.26,2136.2716666666665,7,5,10,3,1083,24,16.0,15.14,1.0,2,361.52,28.05259460711384,18,1,42.5577176923064,3,388.81402111514,2,52.25542785922021
909,7928,27,14,20373.24,1845.77,4,6,21,2,477,16,12.0,11.22,6.0,2,1517.43,32.87532314515498,10,1,21.476498190130105,5,204.78387952298598,2,248.316622286884
914,89048,28,11,10034.725,939.2270833333332,9,5,20,5,284,21,22.0,5.61,12.0,0,3498.63,28.73679046021791,33,1,22.96083535580697,5,274.57432280141074,1,86.38755017611565
921,88881,52,3,55336.94,4453.411666666667,6,6,18,1,955,26,12.0,14.63,3.0,2,1170.84,38.17107882813672,19,1,34.46198562239849,2,510.82467768890234,2,160.05450335536574
928,8966,22,8,15803.96,1307.996666666667,3,5,15,4,1093,25,19.0,13.25,6.0,2,931.32,38.9492074733979,14,1,45.037244539889095,5,205.70852868042041,2,170.0538934463572
939,50310,31,3,39829.0,3146.083333333333,4,6,14,3,2066,9,15.0,19.04,8.0,3,1426.83,39.28946395327314,34,1,71.45002882035034,5,371.531294503767,2,161.627010009216
944,72797,25,13,40197.28,3415.773333333333,6,5,17,4,979,9,9.0,16.94,7.0,3,124.52,27.602130571849088,11,1,100.091444618419,6,431.8887832301157,0,49.59710548479866
946,41405,44,9,14435.435,1376.6976412741708,3,5,20,4,461,9,17.0,2.2,4.0,2,799.07,32.0771182724015,8,1,86.29587661055041,4,326.515858992277,2,51.33883145633519
947,35215,27,10,16038.69,1176.5575,8,7,16,7,632,24,12.0,13.5,9.0,2,1975.78,33.23005012545768,8,1,79.94205890844974,4,248.672278492125,1,69.04141259942524
953,71442,37,12,14007.82,1206.3183333333334,9,6,19,5,883,49,15.0,18.9,11.0,0,3279.57,34.21455548082951,4,1,37.354982292308605,4,270.616802703016,2,92.66004833800872
962,15406,31,0,62546.8,4951.233333333334,5,6,8,2,480,7,20.0,7.63,4.0,1,1146.47,31.49786184950197,11,0,69.72084239010081,3,412.2703087304854,1,283.1321822127472
982,40750,37,9,70709.04,5592.419999999999,7,6,20,6,844,9,15.0,18.68,10.0,2,805.64,33.00210206157131,8,1,260.88351244918806,1,373.3629986892424,2,174.9954888615694
994,15827,42,3,69895.76,5954.6466666666665,7,6,16,3,503,5,16.0,11.82,8.0,2,2286.15,33.94405811073505,34,1,139.74400328077368,1,457.8984613560762,1,247.8222020298167
1006,93896,40,10,29968.56,2698.38,5,5,6,1,955,10,12.0,9.04,4.0,1,1022.13,32.13703924730733,9,0,21.03313243477011,1,461.99383401977286,0,36.81103354545707
1013,42315,43,9,44964.22,3898.018333333333,6,7,15,3,467,27,20.0,8.04,3.0,3,210.15,32.94312582302784,27,1,75.40796961423621,2,353.26895131061815,2,221.12491240847905
1018,91917,40,10,34676.0,3160.666666666666,3,6,18,4,1305,25,16.0,9.99,7.0,2,138.3,34.09430407778987,30,0,69.52897556389723,1,395.851954656894,2,100.68573644587543
1032,81750,40,2,60515.32,5148.943333333334,7,6,5,1,233,7,8.0,3.35,7.0,1,1357.57,37.88132421344133,22,0,34.489544685295726,4,567.2317712378493,0,193.1730174101884
1040,82395,41,3,59703.03,5080.2525,6,6,13,7,1284,20,16.0,18.05,5.0,2,1795.28,35.060526452759674,4,1,295.16766006663084,0,332.7345104323182,2,120.12307950105084
1047,20677,36,5,41772.18,3365.015,4,4,13,4,1459,9,18.0,13.5,9.0,3,1383.84,28.88922473836216,11,1,119.08805481173222,1,411.8634423540993,2,55.5500028341685
1056,73765,44,15,44046.21,3466.5175,7,7,21,7,1207,18,15.0,15.88,9.0,0,2709.07,34.61040911255629,5,1,161.29223301075467,0,347.40819445192153,0,77.9513225373238
1060,53364,37,8,83265.72,6899.81,7,8,30,6,1957,42,12.0,3.46,8.0,3,2224.91,39.547670903203866,29,1,296.6094941637514,0,573.4304834009816,1,59.941022435267094
1075,12645,21,12,28187.35,2201.945833333333,6,5,12,4,2,8,12.0,15.09,9.0,2,321.76,33.986901391348425,8,1,83.6172325987654,5,186.3838497097536,2,240.1935010248143
1079,65642,30,9,33446.44,3058.203333333333,6,6,24,6,993,21,20.0,22.45,11.0,0,2953.68,33.24248652233546,33,1,133.35590483492365,3,215.87087410250922,1,226.5935543959004
1081,79849,43,0,82489.92,7055.16,9,9,25,3,2149,48,13.0,11.33,10.0,3,1816.7,24.281566435859308,2,1,199.5546871577393,6,547.710100913809,2,208.2512119284518
1082,50344,36,11,58604.32,4788.693333333334,7,7,18,6,155,42,21.0,8.75,11.0,3,1887.32,28.41441855539386,11,1,197.42514265636947,2,295.33271492207314,1,246.11147575489082
1086,71869,24,6,17340.775,1468.0645833333335,6,5,10,2,472,10,10.0,18.07,1.0,3,252.17,26.36292616230207,9,1,20.39717672193209,4,354.12950484953353,2,52.2797767618677
1096,25662,26,6,19215.09,1460.2575,5,6,31,5,1579,26,17.0,12.0,6.0,2,1680.4,37.90523403728454,29,1,56.96234984044786,5,279.91641979435815,2,99.146980365194
1101,46515,40,3,87792.39,7448.0325,3,7,6,2,1910,10,5.0,3.34,4.0,1,693.37,32.09534762553488,13,0,101.20594572105878,5,224.596835101896,0,709.0004691770453
1115,93867,26,15,69363.87,6028.322499999998,4,4,19,6,173,29,10.0,16.04,6.0,2,449.06,37.11645486306573,9,1,228.4814754216084,1,388.97492999619215,2,235.37584458219936
1154,93986,38,4,16604.27,1162.6891666666668,5,5,14,3,620,5,11.0,15.56,8.0,2,888.66,35.622848572912346,5,1,27.58959343317193,5,304.9477215029661,2,73.73160173052871
1159,19889,38,14,14688.4,1056.0333333333333,7,6,8,3,1997,32,15.0,16.68,4.0,2,936.02,36.08667663879353,3,1,24.35419766532491,5,256.8941511378929,2,114.35498453011552
1169,86770,28,11,35349.2,2940.7666666666664,6,7,20,3,943,20,11.0,3.57,1.0,2,551.36,24.989963368681327,8,0,78.79827418703749,4,297.9985516693243,2,197.279840810305
